@RELATION nis

@ATTRIBUTE newsId string
@ATTRIBUTE interval NUMERIC
@ATTRIBUTE count NUMERIC


@DATA
at-least-46-killed-in-yemen-mosque-bombings,5.184920948616603,506
atal-pension-yojna-to-be-launched-on-june-1,10.416,2
australia-crush-afghanistan-by-record-275-runs,15.542,2
australia-defeats-pakistan-to-enter-semi-finals,4.318228037383174,535
australia-enters-qf-with-win-over-sri-lanka,5.924666666666666,6
australia-hit-by-twin-cyclones,4.728773913043476,115
australia-threatens-indonesia-over-executions,2.816809523809524,21
australia-to-toughen-immigration-laws,7.036279317697226,469
avijit-roy-s-murder-suspect-arrested,42.49700000000001,2
axis-bank-raises-55-mn-from-overseas-market,3.364285714285715,42
ayodhya-negotiators-discuss-to-settle-dispute,9.228721893491134,676
ayodhya-ram-temple-very-much-on-agenda-rss,5.50668865979382,485
azad-back-as-leader-of-opposition-in-rajya-sabha,6.046281818181817,440
balco-bags-one-more-coal-block-in-chhattisgarh,7.565200250312893,799
balika-vadhu-longest-running-show-in-tv-history,1.9169999999999998,1
balotelli-showed-disrespect-gerrard,5.868649214659686,191
ban-on-bbc-documentary-to-continue,6.56317204301076,2883
ban-on-nirbhaya-documentary-unjustified-tharoor,11.128333333333336,3
bandh-in-maharashtra-against-pansare-s-murder,6.166934994582877,1846
bangladesh-21-injured-after-zia-warrant-upheld,2.8093333333333335,3
bangladesh-beat-scotland-by-6-wickets,1.4598333333333333,6
bangladesh-beats-wc-debutants-afghanistan,4.043101123595505,89
bangladesh-enters-wc-quarter-finals,1.721666666666667,12
bangladesh-ferry-collision-kills-dozens,4.854066037735847,318
bangladesh-pm-narrowly-escapes-series-of-blasts,6.592125,8
bangladeshi-cricketer-to-be-sent-back-home,9.25486495176849,311
banks-call-off-strike-after-pay-deal,7.765234782608698,2070
banks-reluctant-to-cut-rates-as-returns-shrink,5.8031414965986405,735
banning-tor-unacceptable-and-impossible-uk,11.7478,75
barack-obama-isn-t-allowed-to-use-a-smartphone,8.130754999999997,200
barca-beat-villarreal-reach-copa-del-rey-final,2.200333333333333,3
barca-bilbao-want-copa-final-at-bernabeu,5.937939010356735,869
barcelona-6-1-rayo-reach-top-of-league,4.547846153846153,13
barcelona-suffer-shocking-defeat-to-malaga,4.940654770075501,1457
barclays-posts-amp-pound-174-million-annual-loss,0.9470000000000001,2
barkha-dutt-steps-down-as-ndtv-group-editor,3.3516,35
bayern-munich-thrash-shakhtar-donetsk-7-0,3.342894736842105,57
bbc-airs-nirbhaya-documentary-despite-uproar,5.519857142857143,7
bbm-for-android-hits-100-million-downloads,2.0933333333333333,3
bcci-tells-kohli-to-maintain-dignity-of-team,4.6305000000000005,2
be-wary-of-the-bjp-up-cm-to-youth,5.806687103594076,473
bedi-was-brought-in-when-bjp-smelled-defeat-aap,5.984727272727272,33
benedict-cumberbatch-marries-sophie-hunter,2.400935483870968,31
benjamin-netanyahu-wins-israel-election,6.486731600467302,3424
bhaijaanz-a-salman-themed-restaurant-for-fans,5.604764705882353,306
bhaiyyaji-joshi-made-rss-gen-sec-for-3rd-term,3.5090078740157464,254
bharti-airtel-to-raise-about-415-million,3.748913793103449,58
bidding-for-modi-s-suit-reaches-rs-1-41-crore,4.457881578947368,76
big-b-aamir-to-launch-broken-horses-trailer,8.32925,16
big-b-has-a-great-influence-on-me-ranveer,5.885121839080459,435
big-b-to-read-at-gandhi-statue-unveiling-in-uk,3.7340462427745647,173
big-b-to-take-part-in-health-awareness-campaign,3.903261904761905,42
bihar-cm-jitan-ram-manjhi-resigns,3.232784768211923,302
bihar-crisis-jdu-protests-against-modi-in-patna,1.8257499999999998,4
bihar-ex-cm-jagannath-mishra-surrenders-to-cbi,6.119670588235292,255
bihar-niwas-washed-after-my-visit-manjhi,9.114496319663509,951
bihar-over-900-detained-in-anti-cheating-drive,8.560702302631578,608
bihar-two-policemen-shoot-and-kill-each-other,4.678066666666666,15
biker-falls-off-40-feet-flyover-survives,15.549329670329666,182
bill-to-allow-e-rickshaws-passed-in-lok-sabha,2.2056666666666667,3
bill-to-repeal-35-laws-passed-by-lok-sabha,4.9655234899328855,149
billionaire-count-expected-to-double-by-2024,6.526162790697676,43
billionaire-teams-up-with-nasa-to-mine-the-moon,5.967023255813951,43
bjp-admits-to-ideological-differences-with-pdp,4.458142857142857,14
bjp-attacks-rahul-gandhi-for-taking-leave,8.033379128137375,2271
bjp-distances-itself-from-mufti-s-pak-statement,2.2375,2
bjp-govt-to-discard-bill-to-make-divorce-easier,8.270339285714284,56
bjp-leaders-modi-s-amp-quot-najayaz-aulad-amp-quot-up-minister,9.357082118188798,1303
bjp-makes-dharmendra-pradhan-in-charge-of-assam,2.8034050632911387,79
bjp-membership-row-delhi-govt-slams-school,8.341479535831928,6377
bjp-national-executive-member-quits-accuses-pm,5.696803571428572,56
bjp-party-office-catches-fire-in-west-bengal,5.776035714285716,28
bjp-slams-pdp-s-decision-to-free-masarat-alam,9.945142857142857,7
bjp-spent-over-rs-700-crore-for-lok-sabha-polls,1.3585,2
bjp-to-get-leader-of-opposition-post-in-delhi,8.67196423927179,1538
bjp-wins-panaji-assembly-seat-for-sixth-time,3.6445999999999996,15
black-money-it-dept-to-file-100-complaints,7.291716856892012,2278
blackberry-launches-a-new-high-security-tablet,4.291587006960556,431
blackberry-leap-officially-announced,10.067333333333332,3
blackberry-users-can-now-use-android-apps,7.405774647887321,213
blast-in-syria-kills-top-al-qaeda-leaders,2.589666666666667,3
bloomberg-to-help-in-smart-cities-initiative,4.065379310344827,29
bmw-launches-its-costliest-car-i8-at-rs-2-3-cr,9.211503496503493,143
bmw-launches-mini-cooper-s-in-india,8.166112251882268,1461
body-sticker-developed-to-control-smartphones,2.93475,4
boko-haram-kills-dozens-in-nigerian-village-raid,3.215,2
boko-haram-pledges-allegiance-to-isis,7.954250000000001,8
boko-haram-raids-kill-at-least-30-in-chibok,3.901829113924053,158
bollywood-celebrities-speak-up-against-beef-ban,11.152000000000001,2
bomb-blast-in-manipur-injures-seven-people,6.858388059701493,67
bomb-blast-near-hindu-temple-in-pakistan,5.50653164556962,237
bomb-explodes-outside-turkish-embassy-in-kabul,3.9782558139534885,86
bombay-hc-dismisses-rahul-gandhi-s-plea,7.767135135135134,37
bombay-hc-gives-death-to-rape-and-murder-accused,6.0050333333333334,30
bombing-in-baghdad-kills-19-wounds-36,5.822980574773819,3758
border-dispute-has-been-contained-china,5.936090909090908,11
boy-dies-after-having-25-vodka-shots-in-60-secs,12.693532913165255,1428
boy-punished-for-failing-to-recite-quran,7.861689415041786,718
boy-wakes-up-from-coma-addicted-to-cheese,9.138902144772112,746
bp-loses-bid-to-cut-13-7bn-gulf-spill-fine,7.266052631578947,152
brain-lara-slams-icc-offers-to-pay-wahab-fine,15.15754587267003,4131
brand-tcs-grows-fastest-among-global-it-firms,4.602240506329116,79
brawl-between-india-pak-cricket-fans-4-injured,4.022500000000001,36
brent-crude-rises-above-55-as-dollar-weakens,5.0180156249999985,640
bride-in-up-marries-guest-after-groom-falls-ill,10.858142857142859,119
